t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render
36535.9,73.8596,7054.29,4310.82,7053.32,4319.81,2558.11,1,0.246475,13.5392,1.8,1.55134
36552,61.9184,7054.29,4310.82,7053.84,4314.99,2550.94,0,0.650232,16.1503,1.8,1.68458
36569.2,58.2995,7054.16,4298.82,7054.28,4309.87,2545.45,1,0.0790525,17.1528,2.13,1.82609
36586.3,58.2798,7054.16,4298.82,7054.22,4304.72,2537.92,0,0.508017,17.1586,2.13,1.96764
36602.5,61.733,7054.16,4298.82,7054.17,4299.86,2530.85,0,0.912987,16.1988,2.13,2.10128
36618.9,61.1232,7052.96,4286.88,7053.77,4294.97,2525.8,1,0.321997,16.3604,2.46,2.23626
36635.4,60.5829,7052.96,4286.88,7053.28,4290.05,2518.67,0,0.734655,16.5063,2.46,2.37243
36652,60.1236,7050.56,4275.12,7052.6,4285.11,2513.57,1,0.150465,16.6324,2.79,2.50965
36668.8,59.5043,7050.56,4275.12,7051.59,4280.17,2506.39,0,0.570602,16.8055,2.79,2.6483
36686.5,56.5023,7049.23,4263.19,7050.54,4274.96,2500.9,1,0.0130625,17.6984,3.12,2.79431
36707.2,48.2882,7049.23,4263.19,7049.85,4268.79,2492.15,0,0.530788,20.709,3.12,2.96516
36718.6,88.1414,7049.23,4263.19,7049.47,4265.41,2487.39,0,0.814422,11.3454,3.12,3.05876
36735.4,59.4965,7048.26,4251.23,7049,4260.39,2482.37,1,0.234615,16.8077,3.45,3.19742
36752.1,59.8566,7048.26,4251.23,7048.59,4255.39,2475.42,0,0.65228,16.7066,3.45,3.33525
36768.7,60.1482,7047.58,4239.25,7048.21,4250.42,2470.55,1,0.06792,16.6256,3.78,3.47241
36786.8,55.2596,7047.58,4239.25,7047.91,4245,2463.09,0,0.52033,18.0964,3.78,3.62171
36804.4,56.793,7047.58,4239.25,7047.61,4239.72,2455.88,0,0.960525,17.6078,3.78,3.76697
36819.2,67.6553,7046.55,4227.3,7047.24,4235.31,2451.85,1,0.330045,14.7808,4.11,3.88891
36843.1,41.838,7046.55,4227.3,7046.63,4228.16,2442.18,0,0.927588,23.9017,4.11,4.0861
