t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha
54385.4,75.304,8050,11850,8050,11850,891.912,0,0.936045
54400.5,66.1035,8050,11850,8050,11850,890.205,1,0.31424
54416.3,63.3473,8050,11850,8050,11850,888.43,0,0.70889
54433.5,58.0909,8050,11850,8050,11850,886.503,1,0.13925
54449.2,63.6327,8050,11850,8050,11850,884.751,0,0.53213
54466.5,58.0383,8050,11850,8050,11850,882.838,0,0.96288
54482.1,64.073,8050,11850,8050,11850,881.112,1,0.35306
54499,59.1558,8050,11850,8050,11850,879.251,0,0.775672
54515.7,59.6378,8050,11850,8050,11850,877.412,1,0.19487
54535.1,51.7395,8050,11850,8050,11850,875.302,0,0.67806
54549.8,67.9463,8050,11850,8050,11850,873.702,1,0.0459975
54564.3,68.825,8050,11850,8050,11850,872.129,0,0.409238
54581.4,58.6744,8050,11850,8050,11850,870.29,0,0.835317
54599.1,56.3857,8050,11850,8050,11850,868.385,1,0.278693
54614.6,64.5253,8050,11850,8050,11850,866.727,0,0.666138
54631.4,59.4174,8050,11850,8050,11850,864.933,1,0.08689
54648.9,57.2279,8050,11850,8050,11850,863.079,0,0.52374
54665.7,59.3845,8050,11850,8050,11850,861.3,0,0.944725
54682.6,59.234,8050,11850,8050,11850,859.523,1,0.36678
54699.9,57.7624,8050,11850,8050,11850,857.709,0,0.799587
54715.1,66.1279,8050,11850,8050,11850,856.131,1,0.177642
54731.1,62.1519,8050,11850,8050,11850,854.458,0,0.579883
54747.8,59.8691,8050,11850,8050,11850,852.728,0,0.99746
54764.9,58.6885,8050,11850,8050,11850,850.97,1,0.423438
54781.2,61.1984,8050,11850,8050,11850,849.291,0,0.831945
54798.4,58.3029,8050,11850,8050,11850,847.537,1,0.26074
54815.1,59.7632,8050,11850,8050,11850,845.832,0,0.679057
54831.9,59.7083,8050,11850,8050,11850,844.132,1,0.09776
54848.7,59.4569,8050,11850,8050,11850,842.432,0,0.518233
54866.5,55.9506,8050,11850,8050,11850,840.633,0,0.965055
54883.1,60.5378,8050,11850,8050,11850,838.977,1,0.37802
54900,58.9001,8050,11850,8050,11850,837.281,0,0.802468
54917.7,56.6386,8050,11850,8050,11850,835.526,1,0.243862
54940.9,43.0994,8050,11850,8050,11850,833.23,0,0.823918
54954.1,75.7386,8050,11850,8050,11850,831.929,1,0.154
54969.6,64.7346,8050,11850,8050,11850,830.412,0,0.540192
54983.3,72.5347,8050,11850,8050,11850,829.063,0,0.884855
55008.6,39.5762,8050,11850,8050,11850,826.601,1,0.516548
55025.9,57.7998,8050,11850,8050,11850,824.924,0,0.949075
55041.5,64.2678,8050,11850,8050,11850,823.422,1,0.338073
55054.8,75.2061,8050,11850,8050,11850,822.142,0,0.670492
55065.9,89.5648,8050,11850,8050,11850,821.071,0,0.94962
55084.3,54.5753,8050,11850,8050,11850,819.319,1,0.407703
55103.6,51.5767,8050,11850,8050,11850,817.473,0,0.892417
55117.8,70.8582,8050,11850,8050,11850,816.135,1,0.245235
55139.2,46.6257,8050,11850,8050,11850,814.109,0,0.78142
55153.2,71.3079,8042.29,11840.8,8048.98,11848.8,814.176,1,0.132013
55167.5,70.2395,8042.29,11840.8,8046.24,11845.5,812.839,0,0.487938
55182.1,68.4299,8042.29,11840.8,8043.42,11842.2,811.472,0,0.853275
55198.6,60.48,8033.84,11832.3,8040.04,11838.5,811.309,1,0.266635
55214.9,61.4088,8033.84,11832.3,8036.6,11835.1,809.793,0,0.673742
55232,58.5967,8025.26,11823.9,8032.98,11831.4,809.585,1,0.100387
55249.2,57.9673,8025.26,11823.9,8029.28,11827.8,807.989,0,0.531665
55266,59.6616,8025.26,11823.9,8025.68,11824.3,806.444,0,0.950695
55280.8,67.3174,8016.56,11815.6,8022.46,11821.2,806.447,1,0.32207
55298.4,56.9521,8016.56,11815.6,8018.64,11817.6,804.838,0,0.761035
55314.7,61.1157,8007.78,11807.5,8015.07,11814.2,804.705,1,0.170095
55331.6,59.3387,8007.78,11807.5,8011.37,11810.8,803.17,0,0.591405
55349.6,55.5235,7999.12,11799.1,8007.42,11807.1,802.892,1,0.041665
55365.2,64.3554,7999.12,11799.1,8004.05,11803.9,801.485,0,0.430133
55382,59.4732,7999.12,11799.1,8000.41,11800.4,799.968,0,0.85049
