t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms
34569.5,55.1001,8450,2550,8450,2550,2374.61,0,0.886875,18.1488
34583.7,70.2395,8450,2550,8450,2550,2369.74,1,0.2428,14.237
34601.8,55.4256,8450,2550,8450,2550,2363.59,0,0.693855,18.0422
34619.2,57.2958,8450,2550,8450,2550,2357.67,1,0.130187,17.4533
34636.9,56.4471,8450,2550,8450,2550,2351.69,0,0.57308,17.7157
34653.8,59.3845,8450,2550,8450,2550,2346.03,0,0.994065,16.8394
34669.6,63.2467,8450,2550,8450,2550,2340.75,1,0.389342,15.8111
34692.9,42.8813,8450,2550,8450,2550,2333,0,0.972347,23.3202
34709.5,60.184,8450,2550,8450,2550,2327.51,1,0.38774,16.6157
34727.2,56.6425,8450,2550,8450,2550,2321.7,0,0.829105,17.6546
34752.7,39.1776,8450,2550,8450,2550,2313.36,1,0.467225,25.5248
34774,46.8546,8450,2550,8450,2550,2306.43,1,0.00079,21.3426
34791.2,58.3301,8450,2550,8450,2550,2300.89,0,0.429385,17.1438
34806.4,65.5613,8450,2550,8450,2550,2295.99,0,0.810708,15.2529
34819.3,77.9308,8450,2550,8450,2550,2291.88,1,0.131505,12.8319
34835.7,60.8543,8450,2550,8450,2550,2286.63,0,0.542323,16.4327
34852.4,59.8519,8450,2550,8450,2550,2281.33,0,0.96002,16.7079
34868,63.9239,8450,2550,8450,2550,2276.39,1,0.35111,15.6436
34885.5,57.4465,8450,2550,8450,2550,2270.91,0,0.786298,17.4075
34901.7,61.4541,8450,2550,8450,2550,2265.81,1,0.193105,16.2723
34916.6,67.1195,8450,2550,8450,2550,2261.17,0,0.565575,14.8988
34934.2,56.878,8450,2550,8450,2550,2255.71,1,0.0051125,17.5815
34950.8,60.4321,8450,2550,8450,2550,2250.6,0,0.4188,16.5475
34972.5,45.9265,8450,2550,8450,2550,2243.9,0,0.963148,21.7739
34985.6,76.5967,8450,2550,8450,2550,2239.91,1,0.289533,13.0554
35004.2,53.8602,8450,2550,8450,2550,2234.26,0,0.753698,18.5666
35016.5,81.1695,8450,2550,8450,2550,2230.52,1,0.061695,12.3199
35034.3,56.0837,8450,2550,8450,2550,2225.13,0,0.507457,17.8305
35051.8,57.1781,8450,2550,8450,2550,2219.88,0,0.944687,17.4892
35066.9,66.0458,8450,2550,8450,2550,2215.34,1,0.323213,15.141
35083.7,59.5026,8450,2550,8450,2550,2210.33,0,0.743362,16.806
35102,54.8483,8450,2550,8450,2550,2204.93,1,0.199165,18.2321
35116.2,70.1311,8450,2550,8450,2550,2200.72,0,0.55564,14.259
35133.5,57.8841,8450,2550,8450,2550,2195.64,0,0.987538,17.2759
35150.1,60.3238,8450,2550,8450,2550,2190.78,1,0.401967,16.5772
35166.2,62.0144,8450,2550,8450,2550,2186.08,0,0.8051,16.1253
35183.3,58.4799,8450,2550,8450,2550,2181.12,1,0.232598,17.0999
35200.2,59.0399,8450,2550,8450,2550,2176.23,0,0.65604,16.9377
35216.7,60.8583,8450,2550,8450,2550,2171.5,1,0.06683,16.4316
35233.6,59.1188,8450,2550,8450,2550,2166.66,0,0.489707,16.9151
35250,61.0087,8450,2550,8450,2550,2161.98,0,0.899485,16.3911
35266.8,59.6001,8450,2550,8450,2550,2157.22,1,0.318947,16.7785
35285.8,52.5878,8450,2550,8450,2550,2151.85,0,0.794343,19.0158
35300.7,67.1154,8450,2550,8450,2550,2147.66,1,0.166835,14.8997
35316.2,64.5203,8450,2550,8450,2550,2143.32,0,0.55431,15.499
